repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-io,5f22162d13b5d4972181491e6bd943b334e09cf7,ff6fd46bf45e6592420c095e506168a9366c16f0,master,1632670034,4,0,0,0,0,0,0,0,0,1,0,0,0,6302,6307,6306,6303,7094,7090,0,0,1,1,0,0,12,14,5,1,29,6,
apache/commons-io,ff6fd46bf45e6592420c095e506168a9366c16f0,f191b33d7275f1094d8d82184b44de674c3b849f,master,1632668534,558,117,0,0,723,112,0,0,211,11,0,0,0,5534,7237,6303,6468,7090,6557,0,0,83,3,0,0,3987,56,3980,8,4052,3988,
apache/commons-io,f191b33d7275f1094d8d82184b44de674c3b849f,d09bfe7a017be24f1e6ecca5bd110c900fd0723c,master,1632664730,0,0,0,0,0,0,0,0,0,1,0,0,0,6300,6301,6300,6301,7088,7088,0,0,3,0,0,0,4,0,4,0,4,4,
apache/commons-io,d09bfe7a017be24f1e6ecca5bd110c900fd0723c,99003e7ff307c8a43b49e9097a5d77ec27ffb9d0,master,1632617711,0,0,0,0,0,0,0,0,0,0,0,0,0,6301,6301,6301,6301,7088,7088,0,0,11,0,0,0,22,0,22,0,22,22,
apache/commons-io,99003e7ff307c8a43b49e9097a5d77ec27ffb9d0,7ca537c9b3ea994a2c24f2a116a1f60e20349ee0,master,1632617520,0,0,0,0,0,0,0,0,1,0,0,0,0,6300,6301,6301,6300,7088,7088,0,0,1,0,0,0,6,0,7,0,6,7,
apache/commons-io,7ca537c9b3ea994a2c24f2a116a1f60e20349ee0,69fbbdd1b5d341d3bc75015e474ef378efea71f6,master,1632602442,7,1,0,0,9,0,0,0,0,0,0,0,0,6293,6309,6300,6302,7088,7080,0,0,2,0,0,0,60,0,77,0,60,77,
apache/commons-io,69fbbdd1b5d341d3bc75015e474ef378efea71f6,ddf008f5a887116ffde5ef288cdb95e32b1c047c,master,1632595999,1,0,0,0,1,0,0,0,0,0,0,0,0,6301,6303,6302,6302,7089,7088,0,0,1,0,0,0,3,0,4,0,3,4,
apache/commons-io,ddf008f5a887116ffde5ef288cdb95e32b1c047c,deb092b09ef8f1b59c7000a75d20b7c3f6909c32,master,1632420341,0,0,0,0,0,0,0,0,0,0,0,0,0,6302,6302,6302,6302,7089,7089,0,0,2,6,0,0,2,28,2,30,38,34,
apache/commons-io,deb092b09ef8f1b59c7000a75d20b7c3f6909c32,a463f1e85d7481d71ffe7ff3671cb1798a462296,master,1632322306,33,0,0,0,54,0,0,0,0,0,0,0,0,6269,6357,6302,6324,7089,7057,0,0,12,10,0,0,39,165,79,632,204,711,
apache/commons-io,a463f1e85d7481d71ffe7ff3671cb1798a462296,8381e957f53777530555da51c059adcb7af5625a,master,1632258467,5,0,0,0,3,0,0,0,0,0,0,0,0,6319,6327,6324,6322,7111,7106,0,0,1,0,0,0,8,0,4,0,11,4,
apache/commons-io,8381e957f53777530555da51c059adcb7af5625a,c146a948b515bb0752047339afe0c94e4234c2a8,master,1632246019,190,14,79,20,168,32,0,0,32,9,0,0,0,6021,6527,6322,6226,7109,6842,3,47,51,16,0,43,1443,17563,17457,214,19037,17684,
apache/commons-io,c146a948b515bb0752047339afe0c94e4234c2a8,f1d9aa944ea42bba4718330c74e0a7f4867d62a4,master,1631871884,0,0,0,0,0,0,0,0,0,0,0,0,0,6195,6195,6195,6195,6967,6967,0,0,0,0,0,0,0,0,0,0,68,3,
apache/commons-io,f1d9aa944ea42bba4718330c74e0a7f4867d62a4,9c8d2885e21781dc702f2b507269d4dada235767,master,1631833453,0,0,0,0,0,0,0,0,9,0,0,0,0,6186,6195,6195,6186,6967,6967,0,0,5,0,0,0,20,0,29,0,20,29,
apache/commons-io,9c8d2885e21781dc702f2b507269d4dada235767,5b78256f6036c2f1ecfb2f8ad4ce3fcebac09e76,master,1631821123,4,0,0,0,6,0,0,0,0,0,0,0,0,6182,6192,6186,6188,6967,6963,0,0,2,0,0,0,7,0,11,0,7,11,
apache/commons-io,5b78256f6036c2f1ecfb2f8ad4ce3fcebac09e76,ec04050569d11efbb6d793493631613ecd74ec0c,master,1631812015,3,0,0,0,3,0,0,0,0,1,0,0,0,6185,6192,6188,6189,6969,6966,0,0,2,1,0,0,85,4,41,0,89,41,
apache/commons-io,ec04050569d11efbb6d793493631613ecd74ec0c,e424603cca03723933a68a4946f32e637ec2ff13,master,1631797592,0,0,0,0,0,0,0,0,1,0,0,0,0,6188,6189,6189,6188,6969,6969,0,0,1,1,0,0,1,8,1,0,9,1,
apache/commons-io,e424603cca03723933a68a4946f32e637ec2ff13,7eabae5654c276f0315e786dd6707bd1f3b1f56c,master,1631759485,1,4,0,0,3,5,0,0,0,1,0,0,0,6187,6192,6188,6191,6969,6969,0,0,1,1,0,0,6,3,21,0,9,21,
apache/commons-io,7eabae5654c276f0315e786dd6707bd1f3b1f56c,4bc551413812d56c804baa61ff57959bb9308981,master,1631745943,36,10,0,0,51,5,0,0,2,0,0,0,0,6153,6242,6191,6204,6972,6930,0,0,24,94,0,0,226,6871,123,7043,7107,7166,
apache/commons-io,4bc551413812d56c804baa61ff57959bb9308981,319a5404b657e3859bad4216fb6ca499e072b18d,master,1631669307,27,17,0,0,18,0,0,0,0,0,0,0,0,6177,6222,6204,6195,6981,6937,0,0,6,3,0,0,339,116,45,52,470,97,
apache/commons-io,319a5404b657e3859bad4216fb6ca499e072b18d,d82131ca63ccb4d5d40e9e8aa016e165d492c238,master,1631551667,12,0,0,0,12,0,0,0,0,3,0,0,0,6183,6210,6195,6198,6955,6943,0,0,2,0,0,0,21,0,17,0,26,22,
apache/commons-io,d82131ca63ccb4d5d40e9e8aa016e165d492c238,e7b0b9231cd815ef4907f65c43e676fd83ed38d5,master,1631444510,0,0,0,0,0,0,0,0,3,0,0,0,0,6195,6198,6198,6195,6955,6955,0,0,1,0,0,0,1,0,1,0,1,1,
apache/commons-io,e7b0b9231cd815ef4907f65c43e676fd83ed38d5,3d1980bc6dce0fd80ccceb9cef807ac36d799de4,master,1631376167,0,0,0,0,0,0,0,0,0,0,0,0,0,6195,6195,6195,6195,6955,6955,0,0,8,0,0,0,21,0,10,0,21,10,
apache/commons-io,3d1980bc6dce0fd80ccceb9cef807ac36d799de4,42c823c551631e5fce88562c358798141beea9a4,master,1631370221,7,0,0,0,6,0,0,0,0,0,0,0,0,6188,6201,6195,6194,6955,6948,0,0,3,1,0,0,24,11,11,9,41,20,
apache/commons-io,42c823c551631e5fce88562c358798141beea9a4,914060ec41c375144054b993813a7f8aff1b35d6,master,1631043453,6,3,0,0,3,2,0,0,0,0,0,0,0,6188,6198,6194,6192,6954,6948,0,0,1,0,0,0,34,0,7,0,37,7,
apache/commons-io,914060ec41c375144054b993813a7f8aff1b35d6,5d3da80947db25ae8e7311e40f567c542fa31e0a,master,1631028812,6,0,0,0,6,0,0,0,0,0,0,0,0,6186,6198,6192,6192,6951,6945,0,0,2,0,0,0,19,0,18,0,19,18,
apache/commons-io,5d3da80947db25ae8e7311e40f567c542fa31e0a,5115373b2afe5062afcb1960b9ebf0e35af72d35,master,1631028557,1,0,0,0,13,4,0,0,0,0,0,0,0,6191,6205,6192,6204,6951,6954,0,0,2,0,0,0,43,0,22,0,47,23,
